Customer ID,Date,Subtotal,Country
34,6/21/2007,86,Czech Republic
38,6/27/2007,38.4,Czech Republic
47,7/2/2007,53.5,Slovakia
61,7/14/2007,7,Czech Republic
78,7/21/2007,55.5,Czech Republic
79,7/21/2007,31.7,Czech Republic
82,7/25/2007,110.8,Czech Republic
48,7/25/2007,39.3,Czech Republic
62,8/9/2007,71.4,Czech Republic
9,8/13/2007,13.2,Czech Republic
67,8/20/2007,2.5,Czech Republic
96,8/21/2007,63.6,Czech Republic
131,8/30/2007,113.4,Czech Republic
129,9/3/2007,72,Czech Republic
64,9/7/2007,57.6,Czech Republic
30,9/7/2007,36.2,Czech Republic
166,9/19/2007,16,Czech Republic
171,9/27/2007,54,Czech Republic
182,9/28/2007,34.46,Czech Republic
115,9/28/2007,34.99,Czech Republic
226,10/17/2007,109.6,Czech Republic
192,10/22/2007,203.73,Slovakia
230,10/29/2007,20,Germany
249,11/5/2007,124.1,Czech Republic
243,11/7/2007,30,Czech Republic
259,11/8/2007,27.5,Czech Republic
267,11/9/2007,20,Czech Republic
273,11/10/2007,18,Czech Republic
275,11/11/2007,26,Czech Republic
282,11/13/2007,18,Czech Republic
288,11/13/2007,46.99,Slovakia
300,11/21/2007,22,Czech Republic
326,11/28/2007,11,Czech Republic
269,11/29/2007,180.07,Czech Republic
231,11/30/2007,49.5,Czech Republic
340,12/5/2007,44.9,Czech Republic
344,12/6/2007,13.7,Slovakia
345,12/7/2007,198,Czech Republic
346,12/7/2007,40.7,Slovakia
311,12/10/2007,27,Czech Republic
190,12/10/2007,38.5,Czech Republic
363,12/18/2007,10.7,Slovakia
382,1/3/2008,3.3,Australia
394,1/8/2008,30.6,Czech Republic
397,1/9/2008,42.8,Slovakia
380,1/11/2008,19.95,Slovakia
398,1/11/2008,89.74,Czech Republic
399,1/11/2008,39.55,Czech Republic
404,1/17/2008,90.6,Czech Republic
406,1/18/2008,50.8,Czech Republic
407,1/19/2008,28.7,Slovakia
408,1/20/2008,49.1,Australia
411,1/22/2008,69.75,Czech Republic
415,1/23/2008,8.9,Slovakia
418,1/27/2008,17.8,Czech Republic
420,1/27/2008,64.55,Czech Republic
423,1/29/2008,50.25,Slovakia
425,1/31/2008,50.35,Czech Republic
430,2/4/2008,64.75,Czech Republic
325,2/4/2008,21.3,Czech Republic
435,2/5/2008,67.3,Czech Republic
433,2/5/2008,49.1,Czech Republic
436,2/5/2008,73,Slovakia
439,2/7/2008,246.49,Czech Republic
440,2/7/2008,53,Singapore
442,2/8/2008,25.8,Czech Republic
448,2/10/2008,25.8,Australia
455,2/17/2008,137.35,Czech Republic
456,2/18/2008,39.4,Czech Republic
461,2/20/2008,150.2,Czech Republic
464,2/22/2008,24.15,United Kingdom
466,2/24/2008,23.2,Slovakia
463,2/25/2008,35,Czech Republic
469,2/25/2008,126.1,Czech Republic
470,2/27/2008,42.6,Czech Republic
473,3/2/2008,34.3,American Samoa
474,3/3/2008,53.3,Czech Republic
476,3/4/2008,22.65,Slovakia
478,3/5/2008,74.1,Czech Republic
480,3/7/2008,12.9,Czech Republic
481,3/8/2008,60.4,Czech Republic
471,3/10/2008,3.1,Slovakia
489,3/16/2008,13.8,Czech Republic
493,3/19/2008,44.5,Czech Republic
497,3/20/2008,56.8,Czech Republic
495,3/27/2008,30.32,Czech Republic
459,3/28/2008,69.8,Czech Republic
464,4/6/2008,3.25,United Kingdom
512,4/7/2008,7.9,Czech Republic
513,4/10/2008,5.6,Slovakia
514,4/11/2008,44.52,Czech Republic
518,4/14/2008,50.1,Czech Republic
523,4/16/2008,60.95,Slovakia
524,4/17/2008,59.9,Czech Republic
525,4/17/2008,16.8,Slovakia
521,4/18/2008,43.5,Germany
515,4/18/2008,43.75,Slovakia
528,4/21/2008,54.37,Czech Republic
529,4/21/2008,165.17,Czech Republic
533,4/24/2008,53.4,Czech Republic
535,4/25/2008,170.4,Czech Republic
538,4/28/2008,12.92,Slovakia
462,4/29/2008,50.3,Czech Republic
540,4/29/2008,74.36,Czech Republic
238,5/1/2008,44.3,Czech Republic
509,5/1/2008,55.2,Czech Republic
546,5/1/2008,14.8,Czech Republic
547,5/3/2008,82,Czech Republic
548,5/7/2008,30.72,Czech Republic
550,5/9/2008,154.7,Czech Republic
551,5/9/2008,47.6,Czech Republic
552,5/11/2008,178.45,Czech Republic
404,5/12/2008,341.1,Czech Republic
557,5/16/2008,113.94,Czech Republic
558,5/17/2008,73.6,United Kingdom
561,5/19/2008,24.97,Greece
566,5/22/2008,55.46,Czech Republic
567,5/22/2008,47.51,Czech Republic
568,5/23/2008,46.4,Czech Republic
571,5/27/2008,20.3,Czech Republic
572,5/27/2008,17.8,Czech Republic
573,5/30/2008,49.05,Czech Republic
576,5/31/2008,169.6,Czech Republic
580,6/2/2008,58.8,Czech Republic
582,6/3/2008,47.3,Czech Republic
583,6/4/2008,12.9,Czech Republic
276,6/6/2008,60.4,Czech Republic
579,6/6/2008,31.9,Czech Republic
587,6/6/2008,17.8,Czech Republic
591,6/8/2008,19.4,Czech Republic
592,6/10/2008,65.95,Czech Republic
594,6/11/2008,59.7,Czech Republic
595,6/11/2008,12.75,Slovakia
597,6/12/2008,49.35,Czech Republic
599,6/13/2008,50.45,Czech Republic
602,6/16/2008,94.75,Czech Republic
259,6/16/2008,14.2,Czech Republic
604,6/16/2008,11.1,Czech Republic
605,6/17/2008,23.25,Czech Republic
607,6/17/2008,31.8,Czech Republic
609,6/19/2008,14.65,Czech Republic
618,6/22/2008,7,Czech Republic
394,6/22/2008,54.55,Czech Republic
622,6/23/2008,117.3,Czech Republic
621,6/23/2008,75,Czech Republic
624,6/23/2008,27.8,Australia
626,6/24/2008,67.15,Czech Republic
625,6/24/2008,52.2,Czech Republic
627,6/24/2008,101.3,Czech Republic
420,6/24/2008,108.55,Czech Republic
630,6/25/2008,51.2,Slovakia
629,6/25/2008,79.45,Czech Republic
631,6/25/2008,157.5,Czech Republic
632,6/25/2008,26.95,Czech Republic
639,6/28/2008,49.9,Czech Republic
598,6/29/2008,58.8,Czech Republic
640,6/29/2008,51.6,Slovakia
639,6/30/2008,50,Czech Republic
645,7/2/2008,142.35,Czech Republic
582,7/2/2008,45.05,Czech Republic
